Wavelength	a15
1029.5	36.78662491
1030	36.77732468
1030.5	36.80487061
1031	36.81345749
1031.5	36.81015778
1032	36.85770798
1032.5	36.79047775
1033	36.81210327
1033.5	36.82591248
1034	36.80835342
1034.5	36.8515892
1035	36.75091171
1035.5	36.90793228
1036	36.80875397
1036.5	36.84251785
1037	36.81016159
1037.5	36.81937027
1038	36.86639404
1038.5	36.85853195
1039	36.89191055
1039.5	36.85518646
1040	36.91780472
1040.5	36.86830521
1041	36.84721756
1041.5	36.86952591
1042	36.95884705
1042.5	36.92175293
1043	36.9053154
1043.5	36.92458344
1044	36.92282104
1044.5	36.89060974
1045	36.93990707
1045.5	36.90312195
1046	36.99954605
1046.5	37.01184845
1047	36.91548538
1047.5	37.03649521
1048	36.94573212
1048.5	36.95946503
1049	36.98464203
1049.5	36.97355652
1050	36.98272324
1050.5	36.94032288
1051	36.9852066
1051.5	37.0257988
1052	36.97158813
1052.5	36.93437195
1053	36.94113922
1053.5	36.95718002
1054	37.03736877
1054.5	37.01034927
1055	37.03011703
1055.5	36.9875145
1056	37.11959839
1056.5	36.98424911
1057	37.05978775
1057.5	37.03902817
1058	36.97871017
1058.5	37.01306915
1059	37.09938431
1059.5	37.00092316
1060	37.06714249
1060.5	37.05702591
1061	37.03673172
1061.5	37.1709671
1062	37.07714081
1062.5	37.01020813
1063	37.04118347
1063.5	37.03316498
1064	37.10707092
1064.5	37.09975815
1065	37.08615112
1065.5	37.07570648
1066	37.08338547
1066.5	37.10895538
1067	37.15753174
1067.5	37.07757187
1068	37.14944839
1068.5	37.17092133
1069	37.18603134
1069.5	37.07616043
1070	37.11458969
1070.5	37.1721077
1071	37.11613846
1071.5	37.13898087
1072	37.18702316
1072.5	37.1142807
1073	37.18336105
1073.5	37.14970779
1074	37.20726776
1074.5	37.13661194
1075	37.14120483
1075.5	37.13710785
1076	37.14167786
1076.5	37.14814377
1077	37.1322403
1077.5	37.16859055
1078	37.15021515
1078.5	37.23494339
1079	37.21393204
1079.5	37.18973923
1080	37.16141129
1080.5	37.22053146
1081	37.21451569
1081.5	37.22572327
1082	37.20598984
1082.5	37.23675156
1083	37.27590179
1083.5	37.1919136
1084	37.23292923
1084.5	37.19271088
1085	37.24340057
1085.5	37.21535492
1086	37.21263885
1086.5	37.28382111
1087	37.25421906
1087.5	37.25722122
1088	37.20602417
1088.5	37.25958252
1089	37.27869797
1089.5	37.27514267
1090	37.2460289
1090.5	37.21945572
1091	37.24645615
1091.5	37.25432587
1092	37.22380066
1092.5	37.25605392
1093	37.27434921
1093.5	37.26938248
1094	37.24451828
1094.5	37.2503891
1095	37.28686905
1095.5	37.29697418
1096	37.272789
1096.5	37.26514816
1097	37.29521561
1097.5	37.32167435
1098	37.28298187
1098.5	37.27463913
1099	37.3059082
1099.5	37.27846909
1100	37.28071594
1100.5	37.30037689
1101	37.27308655
1101.5	37.32000732
1102	37.34367371
1102.5	37.32488632
1103	37.32117844
1103.5	37.33469391
1104	37.26657867
1104.5	37.38173676
1105	37.32327271
1105.5	37.28967285
1106	37.35246277
1106.5	37.32435226
1107	37.3649025
1107.5	37.32743835
1108	37.32574463
1108.5	37.35433578
1109	37.37924576
1109.5	37.289505
1110	37.31971359
1110.5	37.37998199
1111	37.34686279
1111.5	37.30265045
1112	37.34780121
1112.5	37.34724426
1113	37.37472916
1113.5	37.35610199
1114	37.41137695
